8	-3.35206	0.322315	0.4913	-0.700849	1.06004	1.3307	1.71912	1.01491	0.58477	-0.118845	-0.906339	-0.439511	0.232925	0.258758	-0.130344	0.091056	-0.171521	-0.21754	-0.208863	0.044066	-0.06481	0.239476	-0.096679	0.086114	0.056857	-0.005578	-0.148199	-0.071656	0.00161201	-0.054842	-0.022662	-0.022282	0.184815	-0.014853	-0.180974	-0.051865	0.00534799	-0.023532	-0.078994	-0.023788	-0.092826	0.012095	-0.170005	0.068093	-0.061966	0.021691	0.08526	0.011252	0.01391	-0.023941	0.06658	0.032478	0.024166	-0.022103	0.039052	-0.052541	-0.034818	-0.043212	-0.022403	0.021365	-0.047413	0.010936	0.075944	-0.006553	0.091752	-0.051538	-0.002043	0.026638	-0.113516	0.025527	-0.035793	-0.004516	0.032786	-0.029137	0.002468	-0.044082	0.065162	-0.020077	-0.000298001	0.048331	0.063184	0.064608	0.009591	-0.076727	-0.002694	0.006433	-0.033233	0.040705	0.003584	-0.039343	-0.015917	-0.032047	-0.028837	-0.04056	0.005651	-0.020356	-0.008136	0.016735	-0.015298	-0.002421	
1863	-7.47334	0.328392	0.996133	-1.05626	1.89123	2.43929	3.19935	1.90261	1.07465	-0.259114	-1.74442	-0.814193	0.425729	0.542293	-0.295531	0.148291	-0.320918	-0.40279	-0.448826	0.098121	-0.133233	0.436233	-0.221071	0.177129	0.059208	-0.010608	-0.270566	-0.158491	-0.033804	-0.100908	-0.077261	-0.06058	0.382282	-0.080526	-0.318348	-0.130359	0.061272	-0.083943	-0.107329	-0.035407	-0.148573	0.063594	-0.370279	0.183434	-0.083833	0.05312	0.148766	-0.000893001	0.011283	-0.009412	0.136947	0.05949	0.00881099	-0.01619	-0.002648	-0.15038	-0.108212	-0.093597	-0.093639	0.036929	-0.097935	0.029988	0.084019	0.00546	0.185462	-0.126414	-0.008942	0.06279	-0.2679	0.051817	-0.051711	-0.019224	0.019217	-0.095817	-0.060912	-0.077345	0.139186	-0.110297	-0.021581	0.116985	0.261681	0.171832	0.022286	-0.213983	-0.007141	0.032804	-0.071499	0.079434	0.032443	-0.066637	0.01091	-0.007964	0.00278299	-0.001507	-0.028761	-0.029331	-0.049202	-0.061494	-0.030236	-0.024568	
capital	-11.9309	0.767805	1.22122	-1.22727	3.40305	3.40425	5.0745	2.68619	1.28685	-0.588729	-2.68361	-0.834876	0.346984	0.646142	-0.384457	0.127796	-0.664186	-0.451532	-0.944873	0.128242	0.063775	0.851209	-0.280776	0.278899	0.268712	-0.015391	-0.591111	-0.391337	0.070296	-0.185095	-0.09304	-0.113111	0.551849	-0.147635	-0.640382	-0.07794	0.045163	-0.034043	-0.236396	-0.054319	-0.098278	0.112059	-0.565009	0.283678	-0.133378	0.095722	0.263861	-0.049845	0.024718	-0.04716	0.130651	0.159685	-0.021797	0.021628	-0.035169	-0.292703	-0.153334	-0.139034	-0.211372	0.074277	-0.196819	0.00132899	0.08229	0.08759	0.313717	-0.176534	0.050224	0.078517	-0.388172	0.073182	-0.132425	-0.00740599	0.051798	-0.179801	-0.130503	-0.078822	0.224036	-0.181034	-0.057635	0.229088	0.457379	0.256294	0.083274	-0.350713	-0.02851	0.044392	-0.103704	0.132064	0.080877	-0.113498	0.00579799	0.022957	0.052541	0.075818	-0.045003	0.029604	-0.05738	-0.152672	-0.017612	-0.048465	
caja	-16.3909	1.19294	1.44552	-1.3932	4.90517	4.37242	6.95011	3.47868	1.52079	-0.916764	-3.64385	-0.835047	0.278166	0.772629	-0.446203	0.138183	-1.00479	-0.504636	-1.42335	0.155668	0.277662	1.25847	-0.325499	0.395448	0.501888	-0.004728	-0.905572	-0.619607	0.180994	-0.291693	-0.069629	-0.182552	0.724245	-0.184325	-0.985394	-0.049626	0.00230899	0.00769003	-0.33315	-0.087378	-0.033142	0.181086	-0.764116	0.39216	-0.16173	0.143569	0.384419	-0.079709	0.00264	-0.065362	0.134532	0.254429	-0.080407	0.070952	-0.099716	-0.43769	-0.239043	-0.191251	-0.314603	0.130023	-0.278484	-0.00159701	0.099106	0.151139	0.433532	-0.20498	0.101665	0.131359	-0.505116	0.090978	-0.200903	-0.00541398	0.061912	-0.218611	-0.146292	-0.083398	0.347025	-0.278745	-0.076463	0.331655	0.678948	0.362176	0.136657	-0.460811	-0.041254	0.032645	-0.122003	0.165306	0.103264	-0.193843	0.035054	0.030542	0.090413	0.114953	-0.049328	0.018862	-0.106116	-0.230695	-0.03535	-0.069397	
la	-20.081	1.92909	1.66042	-1.90313	6.63018	5.5573	9.07077	4.4004	1.84609	-1.21246	-4.68015	-0.911761	0.234083	0.866271	-0.482157	0.174511	-1.34792	-0.567225	-1.89355	0.168756	0.491956	1.69094	-0.333018	0.484518	0.776474	0.019675	-1.25242	-0.826174	0.313882	-0.408735	-0.00150596	-0.231037	0.886706	-0.17017	-1.37888	0.00342297	-0.097007	0.062911	-0.482683	-0.112448	0.006768	0.226708	-0.909588	0.470537	-0.24791	0.151492	0.51186	-0.094132	0.02888	-0.115161	0.152293	0.358886	-0.10918	0.103265	-0.122762	-0.556684	-0.25262	-0.275465	-0.383374	0.195861	-0.337386	-0.00977801	0.15943	0.220454	0.577431	-0.266446	0.124605	0.159023	-0.588549	0.080313	-0.299405	0.024774	0.139181	-0.248771	-0.12735	-0.125615	0.417011	-0.322271	-0.094177	0.455829	0.796066	0.426669	0.176359	-0.575904	-0.049261	0.009664	-0.145837	0.215691	0.117996	-0.274609	0.00663999	-0.00585201	0.09219	0.113164	-0.051222	0.060726	-0.092202	-0.254544	-0.053982	-0.100289	
industria	-23.2976	2.70063	1.63564	-2.23994	8.23637	6.18254	10.7612	5.21551	2.00792	-1.52631	-5.53686	-0.768303	0.104609	0.911085	-0.48066	0.173602	-1.70998	-0.60966	-2.38511	0.130594	0.827699	2.06957	-0.328762	0.599605	1.07105	0.017373	-1.53969	-1.03486	0.44857	-0.488974	0.0783041	-0.288493	1.05078	-0.150882	-1.75257	0.0924859	-0.192463	0.160965	-0.64575	-0.123882	0.084506	0.277834	-0.993548	0.544825	-0.350915	0.158133	0.642663	-0.12127	0.01077	-0.143358	0.150488	0.476114	-0.176076	0.116373	-0.156249	-0.686857	-0.261783	-0.34481	-0.437235	0.269177	-0.39325	-0.027478	0.219218	0.296303	0.709803	-0.309143	0.142812	0.223564	-0.692617	0.073952	-0.370526	-0.00200697	0.172589	-0.261636	-0.108612	-0.0982159	0.504955	-0.372112	-0.135813	0.583917	0.934781	0.462622	0.232486	-0.676328	-0.064213	-0.014543	-0.171913	0.289748	0.098415	-0.347683	0.00322399	-0.017651	0.080199	0.14022	-0.049036	0.101767	-0.092182	-0.254637	-0.06865	-0.125591	
comercio	-26.0377	3.50198	1.37155	-2.39255	9.72371	6.25611	12.04	5.92345	2.01954	-1.86232	-6.20724	-0.401054	-0.129138	0.916867	-0.443332	0.119885	-2.05418	-0.587031	-2.88391	0.0338768	1.28738	2.3583	-0.308434	0.727297	1.3802	-0.015176	-1.81066	-1.26113	0.616046	-0.542574	0.161092	-0.346765	1.13265	-0.142045	-2.1524	0.203999	-0.30199	0.279178	-0.805738	-0.0962779	0.196919	0.318267	-1.0417	0.627901	-0.427615	0.20123	0.783096	-0.171723	0.010421	-0.186549	0.151438	0.614937	-0.235079	0.154536	-0.192427	-0.792946	-0.260003	-0.410166	-0.498619	0.342517	-0.478171	-0.030233	0.25504	0.378697	0.83591	-0.349035	0.15426	0.256197	-0.801429	0.053399	-0.430728	-0.00431297	0.215263	-0.229621	-0.056419	-0.0557849	0.576288	-0.423962	-0.175931	0.714673	1.01858	0.488119	0.34044	-0.772356	-0.077896	-0.046333	-0.194787	0.341987	0.091922	-0.451402	0.023251	-0.046914	0.043107	0.155785	-0.040525	0.076498	-0.096453	-0.269781	-0.107285	-0.143778	
las	-28.7778	4.30178	1.11287	-2.54706	11.2041	6.32526	13.3196	6.62856	2.02865	-2.19921	-6.88572	-0.0367339	-0.360044	0.915395	-0.407093	0.0747162	-2.39285	-0.567177	-3.39412	-0.0723192	1.74254	2.64622	-0.281424	0.849656	1.68751	-0.039159	-2.08124	-1.48376	0.772277	-0.602314	0.254197	-0.413636	1.23064	-0.120693	-2.54807	0.317243	-0.412131	0.389933	-0.968414	-0.0655199	0.320309	0.369438	-1.07452	0.710936	-0.520616	0.219823	0.919731	-0.218333	0.012784	-0.214596	0.163719	0.752233	-0.313471	0.196997	-0.258558	-0.920336	-0.248412	-0.493804	-0.560428	0.42987	-0.531554	-0.036621	0.287704	0.481946	0.959276	-0.392794	0.167429	0.299299	-0.900716	0.018672	-0.500674	-0.00586596	0.25647	-0.224943	-0.026484	-0.0273129	0.639269	-0.484871	-0.221053	0.864532	1.14198	0.51576	0.421465	-0.888102	-0.090882	-0.077787	-0.214023	0.404915	0.088719	-0.543968	0.02734	-0.066376	0.031171	0.196877	-0.04793	0.106827	-0.090846	-0.295572	-0.135398	-0.180491	
entidad	-2.00428	0.617674	0.205474	-1.49016	1.91357	-0.147456	1.45882	0.239987	-0.228321	0.066074	-0.56081	-0.012806	-0.358879	0.063098	-0.162967	-0.223642	-0.331397	0.000130989	-0.142436	-0.015267	0.327589	0.00412701	0.064997	-0.223485	0.099697	0.022737	0.224042	0.036144	0.013537	0.090016	0.253432	-0.203648	-0.043253	0.057005	-0.142183	-0.040062	-0.059601	-0.076065	-0.128607	0.154495	0.15474	-0.104316	0.072828	0.075035	-0.064668	-0.092466	-0.001186	-0.032606	-0.023043	0.122877	-0.149179	0.07449	-0.07444	0.021257	0.070329	-0.067572	-0.002001	-0.1592	0.01727	-0.008449	-0.130826	-0.024023	0.013189	0.050538	0.096982	-0.097764	-0.041728	0.013297	-0.080645	0.008744	-0.051389	-0.094512	0.039335	0.021391	0.028718	0.085003	-0.011877	-0.078156	-0.092067	0.04665	0.050559	-0.005543	0.096938	-0.083015	-0.013896	-0.036787	0.012302	0.02077	-0.046572	0.075165	0.064482	-0.012215	-0.058456	0.101902	0.01664	0.045845	-0.002576	-0.052401	-0.011009	-0.006653	
fue	-4.12743	1.64908	0.273241	-2.84724	3.64972	-0.355799	2.88312	1.05245	-0.343864	-0.066035	-1.2663	-0.047328	-0.514374	0.180584	-0.488297	-0.417582	-0.688317	-0.143808	-0.260642	-0.203113	0.742294	-0.159018	0.143824	-0.237998	0.200587	-0.046285	0.492763	0.017503	0.000261007	0.270878	0.463796	-0.412911	-0.091296	0.090802	-0.289774	-0.064189	-0.064276	-0.170453	-0.243383	0.37822	0.255052	-0.202699	0.15163	0.168968	-0.177201	-0.138686	0.063791	-0.090001	-0.03632	0.260455	-0.186336	0.181071	-0.107558	0.022384	0.13088	-0.155618	0.003846	-0.285945	0.067498	0.048775	-0.280449	-0.089723	0.009571	0.144855	0.177289	-0.156923	-0.04922	0.006061	-0.231712	0.017557	-0.068093	-0.199464	0.049038	-0.008404	0.079613	0.200695	-0.004453	-0.183687	-0.144165	0.151686	0.062971	-0.027073	0.229555	-0.214308	-0.024963	-0.084323	0.005354	0.081144	-0.070091	0.149987	0.12387	-0.00657701	-0.138024	0.19155	0.060219	0.109394	-0.021146	-0.05932	0.01059	-0.03347	
